cluster,ADE_m,FDE_m,model
1,1525.618921574017,1430.5880416541436,Desicion Tree
2,1956.418414492614,1864.7000854155522,Desicion Tree
3,2373.8189969886785,1441.3378244353928,Desicion Tree
4,1561.7942395358768,2703.1465924252125,Desicion Tree
