cluster,ADE_m,FDE_m,model
1,31902.81440321911,52145.26522440491,Neural Network
2,67296.26520525583,49163.54771142309,Neural Network
3,11731.900641580562,4648.891833158368,Neural Network
4,17503.192447830566,20540.66309106675,Neural Network
