cluster,ADE_m,FDE_m,model
1,1466.8802404048172,1433.0836798390017,Modelo
2,1844.2913148724137,1833.6691613512453,Modelo
3,2320.2223080970552,1427.2803578316896,Modelo
4,1472.5220423195747,2534.0353502489443,Modelo
